protein.key;protein.Entry;protein.Accession;protein.Description;protein.dataBaseType;protein.score;protein.falsePositiveRate;protein.avgMass;protein.MatchedProducts;protein.matchedPeptides;protein.digestPeps;protein.seqCover(%);protein.MatchedPeptideIntenSum;protein.top3MatchedPeptideIntenSum;protein.MatchedProductIntenSum;protein.fmolOnColumn;protein.ngramOnColumn;protein.AutoCurate;protein.Key_ForHomologs
3020;H4_MOUSE;P62806;Histone H4 OS=Mus musculus OX=10090 GN=H4c1 PE=1 SV=2;Regular;18.999.420;0.00;113.673.627;49;5;11;45.63;36056;25400;20457;;;Green;
11810;H2AJ_MOUSE;Q8R1M2;Histone H2A.J OS=Mus musculus OX=10090 GN=H2aj PE=1 SV=1;Regular;6.454.991;0.00;140.454.643;15;2;8;12.40;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637
10637;H2AV_MOUSE;Q3THW5;Histone H2A.V OS=Mus musculus OX=10090 GN=H2az2 PE=1 SV=3;Regular;6.454.991;0.00;135.086.993;15;2;9;12.50;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 11810
6630;H2A1K_MOUSE;Q8CGP7;Histone H2A type 1-K OS=Mus musculus OX=10090 GN=H2ac15 PE=1 SV=3;Regular;6.454.991;0.00;141.495.353;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 10637 11810
6629;H2A1H_MOUSE;Q8CGP6;Histone H2A type 1-H OS=Mus musculus OX=10090 GN=H2ac12 PE=1 SV=3;Regular;6.454.991;0.00;139.502.822;15;2;9;12.50;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6630 10637 11810
6628;H2A1F_MOUSE;Q8CGP5;Histone H2A type 1-F OS=Mus musculus OX=10090 GN=Hist1h2af PE=1 SV=3;Regular;6.454.991;0.00;141.615.463;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6629 6630 10637 11810
5878;H2A3_MOUSE;Q8BFU2;Histone H2A type 3 OS=Mus musculus OX=10090 GN=H2ac25 PE=1 SV=3;Regular;6.454.991;0.00;141.214.815;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 6628 6629 6630 10637 11810
5147;H2A2A_MOUSE;Q6GSS7;Histone H2A type 2-A OS=Mus musculus OX=10090 GN=Hist2h2aa1 PE=1 SV=3;Regular;6.454.991;0.00;140.955.078;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5878 6628 6629 6630 10637 11810
5012;H2A2C_MOUSE;Q64523;Histone H2A type 2-C OS=Mus musculus OX=10090 GN=H2ac20 PE=1 SV=3;Regular;6.454.991;0.00;139.883.928;15;2;8;12.40;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5147 5878 6628 6629 6630 10637 11810
2021;H2AX_MOUSE;P27661;Histone H2AX OS=Mus musculus OX=10090 GN=H2ax PE=1 SV=2;Regular;6.454.991;0.00;151.426.137;15;2;12;11.19;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 229 1421 5011 5012 5147 5878 6628 6629 6630 10637 11810
