protein.key;protein.Entry;protein.Accession;protein.Description;protein.dataBaseType;protein.score;protein.falsePositiveRate;protein.avgMass;protein.MatchedProducts;protein.matchedPeptides;protein.digestPeps;protein.seqCover(%);protein.MatchedPeptideIntenSum;protein.top3MatchedPeptideIntenSum;protein.MatchedProductIntenSum;protein.fmolOnColumn;protein.ngramOnColumn;protein.AutoCurate;protein.Key_ForHomologs
11810;H2AJ_MOUSE;Q8R1M2;Histone H2A.J OS=Mus musculus OX=10090 GN=H2aj PE=1 SV=1;Regular;46.737.150;0.00;140.454.643;41;2;8;21.71;246296;0;198473;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637
6630;H2A1K_MOUSE;Q8CGP7;Histone H2A type 1-K OS=Mus musculus OX=10090 GN=H2ac15 PE=1 SV=3;Regular;46.737.150;0.00;141.495.353;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 10637 11810
6629;H2A1H_MOUSE;Q8CGP6;Histone H2A type 1-H OS=Mus musculus OX=10090 GN=H2ac12 PE=1 SV=3;Regular;46.737.150;0.00;139.502.822;41;2;9;21.88;246296;369444;198473;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6630 10637 11810
6628;H2A1F_MOUSE;Q8CGP5;Histone H2A type 1-F OS=Mus musculus OX=10090 GN=Hist1h2af PE=1 SV=3;Regular;46.737.150;0.00;141.615.463;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6629 6630 10637 11810
5878;H2A3_MOUSE;Q8BFU2;Histone H2A type 3 OS=Mus musculus OX=10090 GN=H2ac25 PE=1 SV=3;Regular;46.737.150;0.00;141.214.815;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 6628 6629 6630 10637 11810
5147;H2A2A_MOUSE;Q6GSS7;Histone H2A type 2-A OS=Mus musculus OX=10090 GN=Hist2h2aa1 PE=1 SV=3;Regular;46.737.150;0.00;140.955.078;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5878 6628 6629 6630 10637 11810
5012;H2A2C_MOUSE;Q64523;Histone H2A type 2-C OS=Mus musculus OX=10090 GN=H2ac20 PE=1 SV=3;Regular;46.737.150;0.00;139.883.928;41;2;8;21.71;246296;0;198473;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5147 5878 6628 6629 6630 10637 11810
229;H2A1P_MOUSE;C0HKE9;Histone H2A type 1-P OS=Mus musculus OX=10090 GN=Hist1h2ap PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 226 227 228 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
228;H2A1O_MOUSE;C0HKE8;Histone H2A type 1-O OS=Mus musculus OX=10090 GN=Hist1h2ao PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 226 227 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
227;H2A1N_MOUSE;C0HKE7;Histone H2A type 1-N OS=Mus musculus OX=10090 GN=Hist1h2an PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 226 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
